ID_ESCOLA,LOCALIZACAO,AREA,TIPO_ESCOLA,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61465816,Rural,Interior,Pública,1,18564.84,289.18,5.44,Q4_Alto,Q4_Alto,Alto_INSE
61416177,Rural,Interior,Pública,1,3706.96,302.9,5.68,Q4_Alto,Q4_Alto,Alto_INSE
61466262,Rural,Interior,Pública,1,3512.11,311.35,5.06,Q4_Alto,Q4_Alto,Medio_INSE
61442024,Rural,Interior,Pública,1,339.18,334.15,5.79,Q4_Alto,Q4_Alto,Alto_INSE
61432486,Rural,Interior,Pública,1,327.9,319.33,5.2,Q4_Alto,Q4_Alto,Alto_INSE
61433082,Rural,Interior,Pública,1,271.48,7458.22,5.12,Q3_Médio-Alto,Q4_Alto,Alto_INSE
61432493,Urbana,Interior,Pública,1,22195.53,283.44,4.4,Q4_Alto,Q3_Médio-Alto,Baixo_INSE
61421870,Urbana,Interior,Pública,1,19851.56,273.67,4.73,Q4_Alto,Q3_Médio-Alto,Medio_INSE
61428659,Urbana,Interior,Pública,1,16537.67,261.56,4.92,Q4_Alto,Q2_Médio-Baixo,Medio_INSE
61455987,Urbana,Interior,Pública,1,14408.93,265.08,4.36,Q4_Alto,Q2_Médio-Baixo,Baixo_INSE
61428657,Urbana,Interior,Pública,1,13947.83,277.1,5.47,Q4_Alto,Q3_Médio-Alto,Alto_INSE
61451144,Urbana,Interior,Pública,1,6351.39,7290.15,5.01,Q4_Alto,Q4_Alto,Medio_INSE
61455969,Urbana,Interior,Pública,1,245.44,206.29,4.87,Q1_Baixo,Q1_Baixo,Medio_INSE
61438217,Urbana,Interior,Privada,1,240.94,195.25,5.43,Q1_Baixo,Q1_Baixo,Alto_INSE
61400070,Urbana,Interior,Pública,1,218.83,202.72,5.04,Q1_Baixo,Q1_Baixo,Medio_INSE
61455951,Rural,Interior,Pública,2,276,28765.5,4.25,Q3_Médio-Alto,Q4_Alto,Baixo_INSE
61459797,Rural,Interior,Pública,2,264.18,8719.78,3.88,Q2_Médio-Baixo,Q4_Alto,Baixo_INSE
61439327,Rural,Interior,Pública,2,256.39,8988.28,3.88,Q1_Baixo,Q4_Alto,Baixo_INSE
61438246,Rural,Interior,Pública,2,245.92,221.02,4,Q1_Baixo,Q1_Baixo,Baixo_INSE
61399634,Rural,Interior,Pública,2,238.62,231.71,3.72,Q1_Baixo,Q1_Baixo,Baixo_INSE
61399879,Rural,Interior,Pública,2,238.6,231.29,4.34,Q1_Baixo,Q1_Baixo,Baixo_INSE
61451159,Rural,Interior,Pública,2,233.24,12488.92,4.13,Q1_Baixo,Q4_Alto,Baixo_INSE
61459457,Rural,Interior,Pública,2,231.03,243.96,4.07,Q1_Baixo,Q1_Baixo,Baixo_INSE
61448126,Rural,Interior,Pública,2,230.1,240.56,4.03,Q1_Baixo,Q1_Baixo,Baixo_INSE
61459766,Rural,Interior,Pública,2,228.7,221.61,4.04,Q1_Baixo,Q1_Baixo,Baixo_INSE
61426084,Rural,Interior,Pública,2,226.45,218.28,4.27,Q1_Baixo,Q1_Baixo,Baixo_INSE
61438237,Rural,Interior,Pública,2,226.07,220.49,3.89,Q1_Baixo,Q1_Baixo,Baixo_INSE
61459394,Rural,Interior,Pública,2,224.71,206.69,3.99,Q1_Baixo,Q1_Baixo,Baixo_INSE
61465829,Rural,Interior,Pública,2,221.09,239.02,3.92,Q1_Baixo,Q1_Baixo,Baixo_INSE
61466270,Urbana,Interior,Pública,2,291.34,27507.65,4.37,Q4_Alto,Q4_Alto,Baixo_INSE
61432993,Urbana,Interior,Pública,2,259.22,19346.1,5.19,Q2_Médio-Baixo,Q4_Alto,Alto_INSE
61456024,Urbana,Interior,Pública,2,255.73,14085.77,4.72,Q1_Baixo,Q4_Alto,Medio_INSE
61412188,Urbana,Interior,Pública,2,247.34,18049.62,4.83,Q1_Baixo,Q4_Alto,Medio_INSE
61399662,Urbana,Interior,Pública,2,233.37,219.46,3.97,Q1_Baixo,Q1_Baixo,Baixo_INSE
61470491,Urbana,Interior,Pública,2,226.03,210.95,4.15,Q1_Baixo,Q1_Baixo,Baixo_INSE
61425004,Urbana,Interior,Pública,2,225.86,219.04,4.28,Q1_Baixo,Q1_Baixo,Baixo_INSE
61400006,Urbana,Interior,Pública,2,224.08,227.35,3.56,Q1_Baixo,Q1_Baixo,Baixo_INSE
61428646,Urbana,Interior,Pública,2,221.21,222.31,4.39,Q1_Baixo,Q1_Baixo,Baixo_INSE
61412203,Urbana,Interior,Pública,2,219.5,215.95,4.45,Q1_Baixo,Q1_Baixo,Baixo_INSE
61425129,Urbana,Interior,Pública,2,219.02,214.28,4.44,Q1_Baixo,Q1_Baixo,Baixo_INSE
