"Variavel","N_Total","N_NA","Pct_NA"
"TX_RESP_Q21c_num",306,113,36.93
"TX_RESP_Q21d_num",306,113,36.93
"TX_RESP_Q21a_num",306,112,36.6
"TX_RESP_Q21b_num",306,111,36.27
"TX_RESP_Q21e_num",306,111,36.27
"TX_RESP_Q19_num",306,109,35.62
"TX_RESP_Q20_num",306,109,35.62
"TX_RESP_Q10e_num",306,88,28.76
"TX_RESP_Q10b_num",306,85,27.78
"TX_RESP_Q10d_num",306,85,27.78
"TX_RESP_Q10c_num",306,84,27.45
"TX_RESP_Q22c_num",306,84,27.45
"TX_RESP_Q23h_num",306,84,27.45
"TX_RESP_Q10a_num",306,83,27.12
"TX_RESP_Q22f_num",306,83,27.12
"TX_RESP_Q23e_num",306,83,27.12
"TX_RESP_Q23f_num",306,83,27.12
"TX_RESP_Q23g_num",306,83,27.12
"TX_RESP_Q10f_num",306,82,26.8
"TX_RESP_Q22h_num",306,82,26.8
"TX_RESP_Q23b_num",306,82,26.8
"TX_RESP_Q23c_num",306,82,26.8
"TX_RESP_Q23i_num",306,82,26.8
"TX_RESP_Q22e_num",306,81,26.47
"TX_RESP_Q22g_num",306,81,26.47
"TX_RESP_Q23a_num",306,81,26.47
"TX_RESP_Q23d_num",306,81,26.47
"TX_RESP_Q22a_num",306,80,26.14
"TX_RESP_Q22b_num",306,80,26.14
"TX_RESP_Q22d_num",306,80,26.14
"TX_RESP_Q01",306,0,0
"TX_RESP_Q02",306,0,0
"TX_RESP_Q03",306,0,0
"TX_RESP_Q04",306,0,0
"TX_RESP_Q05a",306,0,0
"TX_RESP_Q05b",306,0,0
"TX_RESP_Q05c",306,0,0
"TX_RESP_Q06",306,0,0
"TX_RESP_Q07a",306,0,0
"TX_RESP_Q07b",306,0,0
"TX_RESP_Q07c",306,0,0
"TX_RESP_Q07d",306,0,0
"TX_RESP_Q07e",306,0,0
"TX_RESP_Q08",306,0,0
"TX_RESP_Q09",306,0,0
"TX_RESP_Q10a",306,0,0
"TX_RESP_Q10b",306,0,0
"TX_RESP_Q10c",306,0,0
"TX_RESP_Q10d",306,0,0
"TX_RESP_Q10e",306,0,0
"TX_RESP_Q10f",306,0,0
"TX_RESP_Q11a",306,0,0
"TX_RESP_Q11b",306,0,0
"TX_RESP_Q11c",306,0,0
"TX_RESP_Q12a",306,0,0
"TX_RESP_Q12b",306,0,0
"TX_RESP_Q12c",306,0,0
"TX_RESP_Q12d",306,0,0
"TX_RESP_Q12e",306,0,0
"TX_RESP_Q12f",306,0,0
"TX_RESP_Q12g",306,0,0
"TX_RESP_Q13a",306,0,0
"TX_RESP_Q13b",306,0,0
"TX_RESP_Q13c",306,0,0
"TX_RESP_Q13d",306,0,0
"TX_RESP_Q13e",306,0,0
"TX_RESP_Q13f",306,0,0
"TX_RESP_Q13g",306,0,0
"TX_RESP_Q13h",306,0,0
"TX_RESP_Q13i",306,0,0
"TX_RESP_Q14",306,0,0
"TX_RESP_Q15a",306,0,0
"TX_RESP_Q15b",306,0,0
"TX_RESP_Q16",306,0,0
"TX_RESP_Q17",306,0,0
"TX_RESP_Q18",306,0,0
"TX_RESP_Q19",306,0,0
"TX_RESP_Q20",306,0,0
"TX_RESP_Q21a",306,0,0
"TX_RESP_Q21b",306,0,0
"TX_RESP_Q21c",306,0,0
"TX_RESP_Q21d",306,0,0
"TX_RESP_Q21e",306,0,0
"TX_RESP_Q22a",306,0,0
"TX_RESP_Q22b",306,0,0
"TX_RESP_Q22c",306,0,0
"TX_RESP_Q22d",306,0,0
"TX_RESP_Q22e",306,0,0
"TX_RESP_Q22f",306,0,0
"TX_RESP_Q22g",306,0,0
"TX_RESP_Q22h",306,0,0
"TX_RESP_Q23a",306,0,0
"TX_RESP_Q23b",306,0,0
"TX_RESP_Q23c",306,0,0
"TX_RESP_Q23d",306,0,0
"TX_RESP_Q23e",306,0,0
"TX_RESP_Q23f",306,0,0
"TX_RESP_Q23g",306,0,0
"TX_RESP_Q23h",306,0,0
"TX_RESP_Q23i",306,0,0
"TX_RESP_Q24",306,0,0
"TX_RESP_Q25",306,0,0
